	ID	Origin_Class	G	G_BP	G_RP	Class	r	x	y	z	r_GC	Teff_LASP	Teff_DD-Payne	e_Teff_LASP	e_Teff_DD-Payne	[Fe/H]_LASP	[Fe/H]_DD-Payne	RV_LASP	V_GC	Vx	Vy	Vz	RV_LASP_Calibrated	Vesc(W)	Vesc(G)	Vesc(Ke)	Vesc(Ko)	Vesc(P)	Vesc(M)	Vesc(X)	Pgc	PMW	Pub(W)	Pub(G)	Pub(Ke)	Pub(Ko)	Pub(P)	Pub(M)	Pub(X)	Mabs	Luminosity	L_Lsun	Mass
277	Hivel278	RS	14.38	15.12	14.2	G2	3.4	-7.1	-1.2	3.0	7.8	5207	5281	51	40	-1.18	-1.12	-54	492	-489	12	44	-49	623	607	599	569	537	516	493	0.0	1.0	0.055999999999999994	0.066	0.078	0.135	0.24600000000000002	0.33799999999999997	0.49700000000000005	1.7226054147887258	5.850270487931652e+27	15.239047897712041	4.3335222326553357e+30
278	Hivel279	OUT	13.32	19.48	17.32	G5	11.9	-0.9	9.2	2.1	9.5	4340	4571	45	27	-1.69	-1.36	-364	492	263	-414	11	-358	608	590	583	557	524	498	479	0.132	0.45399999999999996	0.23	0.258	0.26899999999999996	0.319	0.4	0.485	0.545	-2.057734806962653	1.9024446705997796e+29	495.5573510288564	1.1718712819156314e+31
279	Hivel280	OUT	14.38	16.29	15.64	G7	5.9	-5.5	4.3	-3.1	7.7	4960	4857	65	68	-1.17	-1.23	-587	492	7	-479	109	-582	624	607	599	570	538	517	494	0.0	0.414	0.052000000000000005	0.073	0.085	0.13699999999999998	0.23	0.315	0.47200000000000003	0.5257399417892792	1.761660170284611e+28	45.888517069148506	5.937801218368067e+30
280	Hivel281	RS	14.28	18.68	16.3	F2	6.0	-4.7	2.9	3.9	6.8	5469	5503	79	37	-1.12	-1.18	47	492	85	-268	401	53	632	614	608	576	544	529	503	0.0	1.0	0.07	0.091	0.102	0.152	0.23800000000000002	0.3	0.439	0.38924374808178186	1.997655580761701e+28	52.03583174685338	6.154959781928341e+30
282	Hivel283	RS	15.31	18.66	15.69	F0	2.1	-6.6	0.8	1.2	6.8	6246	6210	63	44	-1.48	-1.6	-408	491	-67	-473	-103	-402	638	618	613	586	553	529	503	0.0	0.59	0.001	0.004	0.006	0.017	0.073	0.163	0.37200000000000005	3.6989035263304046	9.476690595736189e+26	2.468531022593433	2.576192951653177e+30
283	Hivel284	RS	12.41	14.57	13.21	G3	5.6	-7.2	3.3	4.4	9.0	4851	5086	26	37	-2.02	-1.65	-96	491	-203	-284	346	-90	609	596	584	555	523	502	482	0.0	1.0	0.091	0.106	0.131	0.21100000000000002	0.34299999999999997	0.447	0.5529999999999999	-1.3309401350310015	9.740789676182048e+28	253.73247398234042	9.678714141631729e+30
284	Hivel285	OUT	14.63	14.09	12.66	G0	2.6	-7.8	-0.8	2.5	8.2	5500	5514	69	42	-1.3	-1.29	154	491	485	61	39	159	619	604	595	567	534	511	489	0.005	0.46299999999999997	0.003	0.005	0.01	0.052000000000000005	0.156	0.322	0.522	2.5551332601459116	2.7174703112739603e+27	7.07858898482407	3.480927592561188e+30
285	Hivel286	OUT	14.73	15.6	13.8	G2	6.9	-5.6	4.0	5.0	8.5	5111	5163	49	47	-1.3	-1.29	-192	491	351	-339	50	-187	613	599	589	558	527	508	487	0.0	0.42100000000000004	0.105	0.13	0.155	0.242	0.35100000000000003	0.414	0.524	0.5357545463137239	1.745485693616248e+28	45.46719702048054	5.922173522296084e+30
286	Hivel287	RS	13.54	11.22	9.91	G2	2.4	-7.5	0.1	2.3	7.8	5341	5386	46	35	-1.67	-1.6	217	491	-133	-355	312	223	624	608	599	571	538	515	493	0.0	1.0	0.001	0.004	0.006999999999999999	0.031	0.107	0.251	0.488	1.6389437914419691	6.318887095305461e+27	16.4597215298397	4.4299860372832595e+30
287	Hivel288	RS	17.57	16.23	13.71	K5	1.5	-9.3	0.0	1.0	9.4	4369	4564	82	143	-0.87	-0.72	-210	490	429	-158	173	-204	610	597	585	560	527	499	479	0.031	1.0	0.155	0.17300000000000001	0.196	0.25	0.361	0.45399999999999996	0.545	6.6895437047215935	6.0311569483175865e+25	0.15710229091736355	1.1727108376729007e+30
